UserID | ResourceID | ResourceName | BorrowDate | DueDate | Returned | ReturnDate
1001 | 5001 | Harry Potter | 2026-05-08 | 2026-05-15 | 1 | 2026-05-08
1001 | 5027 | forty rules of love | 2026-05-08 | 2026-05-15 | 1 | 2026-05-08
1002 | 5006 | To Kill a Mockingbird | 2026-05-08 | 2026-05-15 | 1 | 2026-05-08
1004 | 5013 | Atomic Habits | 2026-05-08 | 2026-05-15 | 1 | 2026-05-08
1004 | 5013 | Atomic Habits | 2026-05-08 | 2026-05-15 | 1 | 2026-05-08
1004 | 5013 | Atomic Habits | 2026-05-08 | 2026-05-15 | 1 | 2026-05-08
1004 | 5013 | Atomic Habits | 2026-05-08 | 2026-05-15 | 1 | 2026-05-08
1005 | 5001 | Harry Potter | 2026-05-08 | 2026-05-15 | 1 | 2026-05-08
1005 | 5003 | Pride and Prejudice | 2026-05-08 | 2026-05-15 | 1 | 2026-05-08
1005 | 5009 | Peer E Kamil | 2026-05-08 | 2026-05-15 | 1 | 2026-05-08
1005 | 5027 | forty rules of love | 2026-05-08 | 2026-05-15 | 0 | 
1005 | 5001 | Harry Potter | 2026-05-08 | 2026-05-15 | 0 | 
1005 | 5002 | The Hobbit | 2026-05-08 | 2026-05-15 | 0 | 
1005 | 5003 | Pride and Prejudice | 2026-05-08 | 2026-05-15 | 0 | 
1005 | 5005 | 1984 | 2026-05-08 | 2026-05-15 | 0 | 
